"Title","Text","Reviewer","Date","Rating"
"Understanding Delivery Business","Rated 3 out of 5 stars2 days ago""InvitedDelivery prices are outrageous!Delivery prices are outrageous!! Seem to have sky rocketed recently and for restaurants that are 5-10 mins away. Does not make me chose Uber eats as my first delivery service anymore""To person who wrote review; where is your common sense?  All food and grocery delivery companies will charge a premium for use of your convenience that's how they stay in business.  Sure cost of food or groceries are going to be higher in price than if you  shopped yourself; companies have operational cost which includes hiring drivers to delivery ones goods. My suggestion if you're concerned is about higher prices it would be wise choice to do your own shopping.","Oh it's you again",2024-11-19,5
"La verdad muy buena la aplicacion de…","La verdad muy buena la aplicacion de uber EAST la recomindo todo llega calientito y supieron escojer los restaurant mas sabrosos.    The Uber Eats app is very good, everything arrives hot and they knew how to choose the tastiest restaurants.","Andres Vargas",2024-11-15,5
"Run!!!!!","Just keeping food warm (between 41 and 135 °F) is not safe. If not consumed, refrigerate all perishable foods as soon as possible, always within two hours after purchase or delivery. When delivery time exceeds 30 minutes, food must be held either cold (below 41˚) or hot (above 135˚).MY FOOD WAS DELIVERED OVER AN HOUR AFTER BEING PICKED UP WITH TEMPERATIRE AT 106 AND 99 DEGREES. CLEARLY NOT WITHIN LEGAL STANDARDS.","Disgusted",2024-11-19,1
"Poor Customer Service","Ordered twice with Ubereats. First time paid for priority delivery, food arrived later than the standard time suggested, let alone within the priority time. The additional payment for priority delivery was not refunded. Just ordered again two items missing and the side orders were stone cold. No refund for missing items. Will not order via Ubereats again. Tried to leave feedback for the business, was unable to do so! Very poor customer service. Have deleted the app, Just eat and Deliveroo provide better customer support.","Vicki Walker",2024-11-16,2
"Delivery prices are outrageous!","Delivery prices are outrageous!! Seem to have sky rocketed recently and for restaurants that are 5-10 mins away. Does not make me chose Uber eats as my first delivery service anymore","Julie",2024-11-03,3
"Uber eats and customer service 👎🏼","Uber eats is just becoming soo poor and do not care about the customers and protect the 💩restaurant/takeaways instead. Over and over again the takeaways don’t send what you order but just any old crap and when you complain Uber 💩 don’t do anything. Which is why Deliveroo customer service is a lot better then these clowns.","a ali",2024-11-17,1
"Very pleased with the service 😁","Received my order ,on time delivery person was nice, and made sure I got everything with no problem or anything going wrong. Very good service ☺️","Rachel Brooks",2024-11-14,5
"GREAT","This was my first experience with UberEats and it Was very good my food arrived still warm I was happy about that and will order from UberEats again very good first time.","Carolyn",2024-11-12,5
"Disgusting customer service…","Absolutely disgusting customer service from Uber Eats, waited 2 hours for our food to be delivered! When I contacted customer service, was told there is nothing they can do only cancel the order. When I said I wanted a refund, I got told they don't do that as the time is estimated! I will not be order via them again...","samantha worley",2024-11-19,1
"Misleading Promotion and Unacceptable…","Misleading Promotion and Unacceptable Service in Germany (SH) as a group we are extremely frustrated with the recent promotion using the code ""HERBST24JANKE"" (or similar). The terms were obviously printed in a tiny tiny small font, making it nearly impossible to notice that the offer was only available for the first 1,000 users. This lack of clarity is deceptive and misleading.A large group of us tried to place an order, and it took over an hour to sort everything out. We had to download the app, register, and then still faced delays—only to find out the code was no longer valid by the time we were ready to order. This was a huge waste of time and completely unacceptable.You’ve lost our business for good. We will not be using UberEats in the future :-)","Yasemin Kertlioglu",2024-11-19,1
